T1: 1(0.65), 3(0.74), 5(0.83), 7(0.6), 9(0.61), 11(0.93), 13(0.76), 15(0.74), 17(0.8), 19(0.5), 21(0.58), 23(0.58), 25(0.86), 27(0.75), 29(0.85), 31(0.53), 34(0.68), 36(0.7), 38(0.62), 40(0.86), 42(0.65), 44(0.58), 46(0.67), 48(0.74), 50(0.66), 52(0.67), 54(0.89), 56(0.51), 58(0.86), 60(0.88), 62(0.93), 64(0.55), 66(0.78), 68(0.74), 70(0.74), 72(0.91), 74(0.69)
T2: 1(0.7), 3(0.78), 5(0.68), 7(0.92), 9(0.8), 12(0.76), 13(0.85), 15(0.59), 17(0.57), 19(0.93), 21(0.61), 23(0.74), 25(0.67), 27(0.9), 29(0.6), 31(0.84), 34(0.7), 36(0.89), 38(0.67), 40(0.89), 42(0.78), 44(0.62), 46(0.86), 48(0.93), 50(0.8), 52(0.7), 54(0.93), 56(0.88), 58(0.74), 60(0.83), 62(0.81), 64(0.7), 66(0.88), 68(0.94), 70(0.68), 72(0.92), 74(0.67)
T3: 1(0.69), 3(0.92), 5(0.55), 7(0.74), 9(0.51), 12(0.8), 13(0.52), 16(0.99), 17(0.75), 19(0.68), 21(0.56), 23(0.64), 25(0.94), 27(0.55), 29(0.61), 31(0.84), 34(0.7), 36(0.98), 38(0.55), 40(0.7), 42(0.89), 44(0.86), 46(0.52), 48(0.63), 50(0.5), 52(0.54), 54(0.58), 56(0.73), 58(0.84), 60(0.77), 62(0.65), 64(0.6), 66(0.91), 68(0.54), 70(0.81), 72(0.77), 74(0.8)
T4: 1(0.98), 3(0.98), 5(0.6), 7(0.93), 9(0.91), 11(0.87), 13(0.84), 15(0.95), 17(0.9), 20(0.56), 21(0.78), 23(0.97), 25(0.75), 27(0.88), 29(0.87), 31(0.71), 34(0.78), 36(0.63), 38(0.65), 40(0.89), 42(0.69), 44(0.67), 47(0.66), 48(0.84), 50(0.76), 52(0.66), 54(0.87), 56(0.57), 58(0.8), 60(0.96), 62(0.95), 64(0.97), 66(0.56), 68(0.86), 70(0.63), 72(0.99), 74(1.0)
T5: 1(0.84), 3(0.82), 5(0.72), 7(0.79), 9(0.86), 11(0.55), 13(0.95), 15(0.62), 17(0.52), 19(0.67), 21(0.73), 23(0.57), 25(0.87), 27(0.81), 29(0.97), 31(0.62), 34(0.52), 36(0.82), 38(0.9), 40(0.61), 42(0.66), 44(0.78), 46(0.6), 48(0.83), 51(0.99), 52(0.7), 54(0.5), 56(0.58), 58(0.57), 60(0.88), 62(0.86), 64(0.6), 66(0.53), 68(0.81), 70(0.62), 72(0.8), 74(0.52)
T6: 1(0.86), 3(0.97), 5(0.9), 7(0.51), 9(0.95), 11(0.84), 13(0.77), 15(0.54), 17(0.99), 19(0.71), 21(0.54), 23(0.96), 25(0.85), 27(0.52), 29(0.88), 31(0.97), 34(0.98), 36(0.83), 38(0.71), 40(0.86), 42(0.55), 44(0.68), 46(0.99), 48(0.74), 51(0.98), 52(0.64), 54(0.92), 56(0.54), 58(0.54), 60(0.54), 63(0.99), 64(0.51), 66(0.68), 68(0.5), 70(0.69), 72(0.88), 74(0.6)
T7: 1(0.74), 3(0.83), 5(0.79), 7(0.62), 9(0.93), 11(0.73), 13(0.67), 15(0.65), 17(0.82), 20(0.81), 21(0.75), 23(0.96), 25(0.91), 27(0.93), 29(0.63), 31(0.79), 34(0.68), 36(0.51), 38(0.95), 40(0.6), 42(0.94), 44(0.52), 47(0.72), 48(0.6), 51(0.61), 52(0.61), 54(0.94), 56(0.68), 58(0.98), 60(0.89), 62(0.93), 64(0.74), 66(0.67), 68(0.59), 70(0.78), 72(0.99), 74(0.65)
T8: 1(0.86), 3(0.98), 5(0.91), 7(0.72), 9(0.59), 12(0.67), 13(0.65), 15(0.74), 17(0.51), 19(0.77), 21(0.69), 24(0.83), 25(0.61), 27(0.94), 29(0.9), 31(0.9), 34(0.67), 36(0.95), 38(0.52), 40(0.9), 42(0.85), 44(0.93), 46(0.98), 48(0.9), 50(0.94), 52(0.54), 54(0.5), 56(0.61), 58(0.86), 60(0.61), 62(0.72), 64(0.76), 66(0.95), 68(0.71), 70(0.64), 72(0.8), 74(0.65)
T9: 1(0.89), 3(0.65), 5(0.56), 7(0.72), 9(0.57), 11(0.88), 13(0.93), 15(0.7), 17(0.64), 19(0.98), 21(0.76), 24(0.9), 25(0.64), 27(0.87), 29(0.83), 31(0.75), 34(0.55), 36(0.88), 38(0.94), 40(0.54), 42(0.64), 44(1.0), 46(0.81), 48(0.55), 50(0.77), 52(0.81), 54(0.59), 56(0.93), 58(0.72), 60(0.91), 62(0.7), 65(0.64), 66(0.54), 68(0.59), 70(0.68), 72(0.94), 74(0.66)
T10: 1(0.82), 3(0.77), 5(0.8), 7(0.62), 9(0.55), 11(0.68), 13(0.61), 16(0.73), 17(0.55), 19(0.69), 21(0.75), 24(0.89), 25(0.81), 27(0.73), 29(0.63), 31(0.86), 34(0.84), 36(0.75), 38(0.52), 40(0.74), 42(0.87), 44(0.81), 46(0.88), 48(0.98), 50(0.69), 52(0.75), 54(0.57), 56(0.87), 58(0.59), 60(0.8), 62(0.68), 64(0.68), 66(0.96), 68(0.71), 70(0.99), 72(0.86), 74(0.66)
T11: 1(0.56), 3(0.85), 5(0.94), 7(0.7), 9(0.77), 12(0.82), 13(0.81), 16(0.85), 17(0.79), 19(0.92), 21(0.67), 24(0.84), 25(0.83), 27(0.55), 29(0.77), 31(0.87), 34(0.82), 36(0.8), 38(0.9), 40(0.8), 42(0.64), 44(0.96), 46(0.52), 48(0.85), 50(0.98), 52(0.64), 54(0.55), 56(0.93), 58(0.9), 60(0.84), 62(0.96), 64(0.6), 66(0.57), 68(0.72), 70(0.55), 72(0.72), 74(0.59)
T12: 1(0.77), 3(0.71), 5(0.92), 7(0.52), 9(0.54), 11(0.8), 13(0.82), 15(0.7), 17(0.81), 20(0.73), 21(0.67), 24(0.8), 25(0.63), 27(0.62), 29(0.99), 31(0.73), 34(0.74), 36(0.92), 38(0.93), 40(0.76), 42(0.98), 44(0.91), 47(0.94), 48(0.68), 50(0.59), 52(0.66), 54(0.93), 56(0.71), 58(0.89), 60(0.86), 62(0.91), 64(0.86), 66(0.62), 68(0.54), 70(0.52), 72(0.88), 74(0.89)
T13: 1(0.68), 3(0.52), 5(0.62), 7(0.66), 9(0.58), 11(0.55), 13(0.94), 15(0.79), 17(0.61), 20(0.68), 21(0.54), 24(0.69), 25(0.81), 27(0.54), 29(0.83), 31(0.65), 34(0.65), 36(0.79), 38(0.52), 40(0.89), 42(0.82), 44(0.56), 47(0.65), 48(0.69), 50(0.75), 52(0.74), 54(0.93), 56(0.68), 58(0.87), 60(0.71), 62(0.63), 65(0.5), 66(0.56), 68(0.66), 70(0.54), 72(0.87), 74(1.0)
T14: 1(0.88), 3(0.7), 5(0.88), 7(0.71), 9(0.75), 11(0.8), 13(0.53), 15(0.87), 17(0.56), 20(0.9), 21(0.92), 24(0.54), 25(0.94), 27(0.65), 29(0.63), 31(0.61), 34(0.56), 36(0.53), 38(0.96), 40(0.86), 43(0.77), 44(0.94), 47(0.67), 48(0.57), 50(0.59), 52(0.79), 54(0.63), 56(0.7), 58(0.63), 60(0.78), 62(0.61), 65(0.61), 66(0.5), 68(0.76), 70(0.53), 72(0.96), 74(0.56)
T15: 1(0.64), 3(0.68), 5(0.51), 7(0.63), 9(0.66), 12(0.95), 13(0.53), 15(0.78), 17(0.77), 20(0.52), 21(0.84), 24(0.99), 25(0.97), 27(0.86), 29(0.95), 31(0.65), 34(0.6), 36(0.51), 38(0.68), 40(0.51), 42(0.63), 44(0.89), 47(0.73), 48(0.81), 50(0.78), 52(1.0), 54(0.89), 56(0.62), 58(0.61), 60(0.83), 62(0.92), 65(0.98), 66(0.93), 68(0.55), 70(0.77), 72(0.87), 74(0.87)
T16: 1(0.53), 3(0.7), 5(0.51), 7(0.94), 9(0.64), 12(0.86), 13(0.99), 15(0.72), 17(0.94), 19(0.79), 21(0.79), 24(0.56), 25(0.73), 27(0.86), 29(0.82), 31(0.82), 34(0.61), 36(0.65), 38(0.96), 40(0.55), 42(0.79), 44(0.58), 46(0.9), 48(0.68), 51(0.96), 52(0.71), 54(0.64), 56(0.73), 58(0.54), 60(0.8), 62(0.73), 64(0.57), 66(0.96), 68(0.74), 70(0.6), 72(0.5), 74(0.75)
T17: 1(0.62), 3(0.81), 5(0.86), 7(0.76), 9(0.74), 11(0.63), 13(0.93), 15(0.51), 17(0.94), 19(0.83), 21(0.72), 24(0.67), 25(0.89), 27(0.79), 29(0.71), 31(0.7), 34(0.87), 36(0.67), 38(0.69), 40(0.8), 42(0.63), 44(0.75), 46(0.87), 48(0.64), 51(0.55), 52(0.98), 54(0.91), 56(0.51), 58(0.63), 60(0.93), 62(0.76), 65(0.6), 66(0.85), 68(0.65), 70(0.72), 72(0.66), 74(0.97)
T18: 1(0.5), 3(0.93), 5(0.82), 7(0.66), 9(0.79), 12(0.78), 13(0.63), 16(0.57), 17(0.66), 19(0.65), 21(0.8), 24(0.6), 25(0.72), 27(0.57), 29(0.86), 31(0.92), 34(0.56), 36(0.63), 38(0.63), 40(0.53), 42(0.81), 44(0.64), 46(0.55), 48(0.95), 51(0.55), 52(0.66), 54(0.52), 56(0.85), 58(0.52), 60(0.85), 62(0.65), 64(0.76), 66(0.72), 68(0.61), 70(0.7), 72(0.51), 74(0.62)
T19: 1(0.58), 3(0.87), 5(0.8), 7(0.87), 9(0.84), 11(0.65), 13(0.66), 15(0.74), 17(0.52), 20(0.66), 21(0.61), 24(0.96), 25(0.58), 27(0.92), 29(0.67), 31(0.53), 34(0.71), 36(0.78), 38(0.74), 40(0.98), 42(0.65), 44(0.95), 47(0.93), 48(0.71), 51(0.65), 52(0.93), 54(0.91), 56(0.68), 58(0.78), 60(0.7), 62(0.65), 64(0.65), 66(0.95), 68(0.86), 70(0.72), 72(0.6), 74(0.71)
T20: 1(0.93), 3(0.9), 5(0.95), 7(0.69), 9(0.85), 11(0.57), 13(0.67), 15(0.52), 17(0.56), 20(0.88), 21(0.99), 24(0.92), 25(0.58), 27(0.59), 29(0.8), 31(0.68), 34(0.75), 36(0.94), 38(0.5), 40(0.59), 42(0.51), 44(0.88), 47(0.65), 48(0.53), 51(0.87), 52(0.53), 54(0.56), 56(0.8), 58(0.63), 60(0.53), 62(0.93), 65(0.75), 66(0.77), 68(0.85), 70(0.73), 72(0.98), 74(0.9)
T21: 1(0.61), 3(0.6), 5(0.56), 7(0.79), 9(0.71), 11(0.96), 13(0.85), 15(0.51), 17(0.77), 20(0.67), 21(0.8), 24(0.56), 25(0.98), 27(0.84), 29(0.64), 31(0.52), 34(0.89), 36(0.67), 38(0.8), 40(0.94), 43(0.56), 44(0.91), 47(0.96), 48(0.8), 51(0.74), 52(0.56), 54(0.63), 56(0.69), 58(0.87), 60(0.95), 62(0.53), 65(0.92), 66(0.73), 68(0.8), 70(0.84), 72(0.76), 74(0.54)
T22: 1(0.82), 3(0.75), 5(0.89), 7(0.51), 9(0.66), 12(0.89), 13(0.82), 15(0.67), 17(0.79), 20(0.7), 21(0.56), 24(0.82), 25(0.55), 27(0.71), 29(0.59), 31(1.0), 34(0.8), 36(0.75), 38(0.73), 40(0.55), 42(0.63), 44(0.53), 47(0.67), 48(0.57), 51(0.97), 52(0.68), 54(0.63), 56(0.53), 58(0.53), 60(0.82), 62(0.92), 65(0.57), 66(0.73), 68(0.67), 70(0.58), 72(0.93), 74(0.54)
T23: 1(0.51), 3(0.84), 5(0.59), 7(0.98), 9(0.76), 11(0.73), 13(0.62), 15(0.57), 17(0.94), 19(0.88), 21(0.84), 24(0.69), 25(0.63), 27(0.85), 29(0.78), 32(0.57), 34(0.51), 36(0.84), 38(0.77), 40(0.63), 42(0.76), 44(0.93), 46(0.68), 48(0.51), 50(0.73), 52(0.94), 54(0.77), 56(0.52), 58(0.66), 60(0.82), 62(0.59), 64(0.84), 66(0.88), 68(0.61), 70(0.82), 72(0.79), 74(0.66)
T24: 1(0.78), 3(0.83), 5(0.72), 7(0.7), 9(0.75), 11(0.96), 13(0.76), 15(0.98), 17(0.56), 19(0.96), 21(0.75), 24(0.61), 25(0.75), 27(0.62), 29(0.53), 32(0.82), 34(0.61), 36(0.57), 38(0.73), 40(0.69), 42(0.82), 44(0.58), 46(0.64), 48(0.63), 50(0.69), 52(0.58), 54(0.92), 56(0.51), 58(0.65), 60(0.65), 62(0.59), 65(0.92), 66(0.85), 68(0.87), 70(0.6), 72(0.9), 74(0.71)
