T1: 1(0.73), 3(0.95), 5(0.75), 7(0.81), 9(0.82), 11(0.83), 13(0.93), 15(0.96), 17(0.88), 19(0.74), 21(0.80), 23(0.76), 25(0.82), 27(0.80), 29(0.80), 31(0.70), 34(0.81), 36(0.76), 38(0.75), 40(0.95), 42(0.98), 44(0.85), 46(0.85), 48(0.85), 50(0.80), 52(0.81), 54(0.78), 56(0.90), 58(0.72), 60(0.96), 62(0.93), 64(0.91), 66(0.83), 68(0.77), 70(0.75), 72(0.82), 74(0.88)
T2: 1(1.00), 3(0.86), 5(0.70), 7(0.95), 9(0.85), 12(0.76), 13(0.96), 15(0.98), 17(0.88), 19(0.88), 21(0.97), 23(0.98), 25(0.73), 27(0.80), 29(0.76), 31(0.70), 34(0.97), 36(0.82), 38(0.94), 40(0.91), 42(1.00), 44(0.77), 46(0.87), 48(0.84), 50(0.83), 52(0.70), 54(0.91), 56(0.85), 58(1.00), 60(0.81), 62(0.93), 64(0.88), 66(0.75), 68(0.92), 70(0.90), 72(0.84), 74(0.95)
T3: 1(0.80), 3(0.95), 5(0.74), 7(0.99), 9(0.85), 12(0.83), 13(0.94), 16(0.74), 17(0.88), 19(0.70), 21(0.84), 23(0.71), 25(0.75), 27(0.93), 29(0.76), 31(0.82), 34(0.73), 36(0.88), 38(0.86), 40(0.74), 42(0.70), 44(0.76), 46(0.86), 48(0.87), 50(0.90), 52(0.77), 54(0.86), 56(0.83), 58(0.86), 60(0.87), 62(0.80), 64(0.85), 66(0.73), 68(0.99), 70(0.88), 72(0.90), 74(0.86)
T4: 1(0.77), 3(0.82), 5(0.88), 7(0.86), 9(0.75), 11(0.82), 13(0.78), 15(0.72), 17(0.98), 20(0.85), 21(0.83), 23(0.72), 25(0.99), 27(0.85), 29(0.75), 31(0.93), 34(0.95), 36(0.99), 38(0.87), 40(0.74), 42(0.86), 44(0.91), 47(0.90), 48(0.92), 50(1.00), 52(1.00), 54(0.74), 56(0.95), 58(0.81), 60(0.84), 62(0.70), 64(0.88), 66(0.84), 68(0.84), 70(0.90), 72(0.85), 74(0.71)
T5: 1(0.73), 3(0.84), 5(0.96), 7(0.87), 9(0.95), 11(0.87), 13(1.00), 15(0.94), 17(0.71), 19(0.95), 21(0.87), 23(0.79), 25(0.91), 27(0.89), 29(0.80), 31(0.93), 34(0.97), 36(0.76), 38(0.91), 40(0.98), 42(0.85), 44(0.72), 46(0.79), 48(0.90), 51(0.99), 52(0.71), 54(0.99), 56(0.92), 58(0.90), 60(0.78), 62(0.77), 64(0.98), 66(0.97), 68(0.85), 70(0.72), 72(0.77), 74(0.91)
T6: 1(0.92), 3(0.98), 5(0.88), 7(0.93), 9(0.84), 11(0.74), 13(0.87), 15(0.75), 17(0.88), 19(0.73), 21(0.74), 23(0.81), 25(0.79), 27(0.84), 29(0.86), 31(0.74), 34(0.75), 36(0.82), 38(0.98), 40(0.80), 42(0.89), 44(0.82), 46(0.73), 48(0.86), 51(0.82), 52(0.87), 54(0.97), 56(0.99), 58(0.95), 60(0.98), 63(0.77), 64(0.95), 66(0.98), 68(0.74), 70(0.80), 72(0.79), 74(0.88)
T7: 1(0.99), 3(0.96), 5(0.71), 7(0.96), 9(0.79), 11(0.95), 13(0.93), 15(0.99), 17(0.79), 20(0.71), 21(0.82), 23(0.88), 25(0.74), 27(0.85), 29(1.00), 31(0.93), 34(0.91), 36(0.79), 38(0.86), 40(0.95), 42(0.84), 44(0.96), 47(0.85), 48(0.76), 51(0.79), 52(0.85), 54(0.83), 56(0.83), 58(0.98), 60(0.78), 62(0.88), 64(0.77), 66(0.96), 68(0.72), 70(0.91), 72(0.76), 74(0.71)
T8: 1(0.79), 3(0.85), 5(0.95), 7(0.77), 9(0.81), 12(0.83), 13(0.82), 15(0.94), 17(0.85), 19(0.92), 21(0.99), 24(0.85), 25(0.80), 27(0.87), 29(0.93), 31(0.78), 34(0.98), 36(0.76), 38(0.95), 40(0.76), 42(0.93), 44(0.85), 46(0.76), 48(0.77), 50(0.89), 52(0.77), 54(0.89), 56(1.00), 58(0.84), 60(0.90), 62(0.84), 64(0.71), 66(0.91), 68(0.75), 70(0.77), 72(0.72), 74(0.92)
T9: 1(0.88), 3(0.89), 5(0.86), 7(0.97), 9(0.82), 11(0.75), 13(0.77), 15(0.74), 17(0.83), 19(0.97), 21(0.78), 24(0.96), 25(0.94), 27(0.92), 29(0.71), 31(0.91), 34(0.90), 36(0.84), 38(0.70), 40(1.00), 42(0.80), 44(0.73), 46(0.96), 48(0.86), 50(0.80), 52(0.72), 54(0.81), 56(0.83), 58(0.83), 60(0.99), 62(0.90), 65(0.96), 66(0.78), 68(0.79), 70(0.97), 72(0.95), 74(0.94)
T10: 1(0.87), 3(0.80), 5(0.96), 7(0.97), 9(0.93), 11(0.86), 13(0.70), 16(0.75), 17(0.77), 19(0.95), 21(0.93), 24(0.71), 25(0.86), 27(0.75), 29(0.83), 31(0.81), 34(0.74), 36(0.93), 38(0.77), 40(0.71), 42(0.71), 44(0.78), 46(0.76), 48(0.72), 50(0.90), 52(0.73), 54(0.94), 56(0.94), 58(0.80), 60(0.98), 62(0.71), 64(0.92), 66(0.74), 68(0.94), 70(0.96), 72(0.91), 74(0.76)
T11: 1(0.92), 3(0.78), 5(0.79), 7(0.96), 9(0.94), 12(0.96), 13(0.82), 16(0.98), 17(0.91), 19(0.78), 21(0.85), 24(0.99), 25(0.78), 27(0.80), 29(0.77), 31(0.70), 34(0.77), 36(0.78), 38(0.77), 40(1.00), 42(0.89), 44(0.96), 46(0.73), 48(0.92), 50(0.80), 52(0.88), 54(0.80), 56(0.97), 58(0.95), 60(0.83), 62(0.98), 64(0.79), 66(0.88), 68(0.85), 70(0.96), 72(0.83), 74(0.74)
T12: 1(0.85), 3(0.93), 5(0.94), 7(0.96), 9(0.97), 11(0.72), 13(0.98), 15(0.78), 17(0.71), 20(0.74), 21(1.00), 24(0.89), 25(0.89), 27(1.00), 29(0.91), 31(0.84), 34(0.96), 36(0.96), 38(0.74), 40(0.97), 42(0.71), 44(0.91), 47(0.95), 48(0.98), 50(0.84), 52(0.93), 54(0.80), 56(0.83), 58(0.99), 60(0.93), 62(0.78), 64(0.73), 66(0.76), 68(0.98), 70(0.84), 72(0.99), 74(0.98)
T13: 1(0.75), 3(0.88), 5(0.99), 7(1.00), 9(0.80), 11(0.86), 13(0.73), 15(0.73), 17(0.73), 20(0.76), 21(0.99), 24(0.88), 25(0.94), 27(0.86), 29(0.80), 31(0.82), 34(0.94), 36(0.97), 38(0.75), 40(0.89), 42(0.79), 44(0.99), 47(0.94), 48(0.78), 50(0.74), 52(0.98), 54(0.79), 56(0.98), 58(0.86), 60(0.78), 62(0.70), 65(0.87), 66(0.95), 68(0.96), 70(0.78), 72(0.81), 74(0.97)
T14: 1(0.77), 3(0.88), 5(0.95), 7(0.71), 9(0.73), 11(0.73), 13(0.86), 15(0.77), 17(0.76), 20(0.71), 21(0.98), 24(0.85), 25(0.75), 27(0.85), 29(0.84), 31(0.87), 34(0.72), 36(0.88), 38(0.80), 40(0.83), 43(1.00), 44(0.77), 47(0.75), 48(0.75), 50(0.94), 52(0.98), 54(0.76), 56(0.73), 58(0.76), 60(0.84), 62(0.78), 65(0.87), 66(0.79), 68(0.86), 70(0.95), 72(0.81), 74(0.82)
T15: 1(0.74), 3(0.94), 5(0.96), 7(0.72), 9(0.85), 12(0.92), 13(0.97), 15(0.86), 17(0.90), 20(0.72), 21(0.76), 24(0.79), 25(0.78), 27(0.94), 29(0.97), 31(0.72), 34(0.76), 36(0.92), 38(0.97), 40(0.73), 42(0.95), 44(0.82), 47(0.88), 48(0.85), 50(0.71), 52(0.84), 54(0.80), 56(0.88), 58(0.75), 60(0.77), 62(0.76), 65(0.83), 66(0.87), 68(0.82), 70(0.73), 72(0.99), 74(0.89)
T16: 1(0.92), 3(0.70), 5(0.78), 7(0.75), 9(0.95), 12(0.92), 13(0.75), 15(0.85), 17(0.83), 19(0.78), 21(0.74), 24(0.74), 25(0.83), 27(0.97), 29(0.82), 31(0.90), 34(0.96), 36(0.76), 38(0.94), 40(0.93), 42(0.76), 44(0.75), 46(0.91), 48(0.74), 51(0.99), 52(0.72), 54(0.87), 56(0.78), 58(0.90), 60(0.96), 62(0.91), 64(0.88), 66(0.71), 68(0.87), 70(0.78), 72(0.84), 74(0.81)
T17: 1(0.92), 3(0.84), 5(0.94), 7(0.73), 9(0.87), 11(0.78), 13(0.74), 15(0.81), 17(0.82), 19(0.96), 21(1.00), 24(0.98), 25(1.00), 27(0.86), 29(0.74), 31(0.81), 34(0.99), 36(0.83), 38(0.88), 40(0.94), 42(0.96), 44(0.90), 46(0.96), 48(0.71), 51(0.93), 52(0.90), 54(0.89), 56(0.81), 58(0.75), 60(0.73), 62(0.85), 65(0.70), 66(0.95), 68(0.91), 70(0.87), 72(0.94), 74(0.81)
T18: 1(0.77), 3(0.98), 5(0.99), 7(0.71), 9(0.94), 12(0.72), 13(0.74), 16(0.88), 17(0.97), 19(1.00), 21(0.70), 24(0.97), 25(0.81), 27(0.74), 29(0.85), 31(0.74), 34(0.77), 36(0.89), 38(0.99), 40(0.83), 42(0.81), 44(0.81), 46(0.95), 48(0.86), 51(0.91), 52(0.81), 54(0.74), 56(0.74), 58(0.95), 60(0.86), 62(0.97), 64(0.75), 66(0.94), 68(0.90), 70(1.00), 72(0.99), 74(0.71)
T19: 1(0.76), 3(0.73), 5(0.87), 7(0.83), 9(0.79), 11(0.96), 13(0.98), 15(0.71), 17(0.80), 20(0.76), 21(0.93), 24(0.88), 25(0.74), 27(0.74), 29(0.99), 31(0.94), 34(0.76), 36(0.95), 38(0.77), 40(0.99), 42(0.85), 44(0.72), 47(0.95), 48(0.86), 51(1.00), 52(0.92), 54(0.72), 56(0.97), 58(0.71), 60(0.99), 62(0.99), 64(0.82), 66(0.82), 68(0.91), 70(0.74), 72(0.99), 74(0.79)
