Algorithm,Dataset,TotalTransactions,GEN,MinSup,FoundItems,Runtime(ms),PeakMemory(MB)
Inc-FP-Close ,datasets/dataset-BMS1_dynamic.txt,59602,0,0.0150,20,570,53.97
Inc-CHARM ,datasets/dataset-BMS1_dynamic.txt,59602,0,0.0150,20,160,36.24
Inc-dCharm ,datasets/dataset-BMS1_dynamic.txt,59602,0,0.0150,20,185,44.03
Inc-FP-Close ,datasets/dataset-BMS1_dynamic.txt,60102,500,0.0150,20,313,93.04
Inc-CHARM ,datasets/dataset-BMS1_dynamic.txt,60102,500,0.0150,20,58,42.07
Inc-dCharm ,datasets/dataset-BMS1_dynamic.txt,60102,500,0.0150,20,47,42.13
Inc-FP-Close ,datasets/dataset-BMS1_dynamic.txt,61102,1000,0.0150,21,146,94.50
Inc-CHARM ,datasets/dataset-BMS1_dynamic.txt,61102,1000,0.0150,21,32,42.55
Inc-dCharm ,datasets/dataset-BMS1_dynamic.txt,61102,1000,0.0150,21,31,42.69
Inc-FP-Close ,datasets/dataset-BMS1_dynamic.txt,63102,2000,0.0150,21,101,96.47
Inc-CHARM ,datasets/dataset-BMS1_dynamic.txt,63102,2000,0.0150,21,28,43.57
Inc-dCharm ,datasets/dataset-BMS1_dynamic.txt,63102,2000,0.0150,21,31,43.88
Inc-FP-Close ,datasets/dataset-BMS1_dynamic.txt,68102,5000,0.0150,22,111,99.74
Inc-CHARM ,datasets/dataset-BMS1_dynamic.txt,68102,5000,0.0150,22,29,46.01
Inc-dCharm ,datasets/dataset-BMS1_dynamic.txt,68102,5000,0.0150,22,39,46.78
Inc-FP-Close ,datasets/dataset-BMS1_dynamic.txt,59602,0,0.0120,30,122,58.33
Inc-CHARM ,datasets/dataset-BMS1_dynamic.txt,59602,0,0.0120,30,42,34.60
Inc-dCharm ,datasets/dataset-BMS1_dynamic.txt,59602,0,0.0120,30,79,42.51
Inc-FP-Close ,datasets/dataset-BMS1_dynamic.txt,60102,500,0.0120,30,160,101.34
Inc-CHARM ,datasets/dataset-BMS1_dynamic.txt,60102,500,0.0120,30,26,42.38
Inc-dCharm ,datasets/dataset-BMS1_dynamic.txt,60102,500,0.0120,30,39,42.45
Inc-FP-Close ,datasets/dataset-BMS1_dynamic.txt,61102,1000,0.0120,30,113,102.78
Inc-CHARM ,datasets/dataset-BMS1_dynamic.txt,61102,1000,0.0120,30,32,42.85
Inc-dCharm ,datasets/dataset-BMS1_dynamic.txt,61102,1000,0.0120,30,48,42.98
Inc-FP-Close ,datasets/dataset-BMS1_dynamic.txt,63102,2000,0.0120,30,116,111.69
Inc-CHARM ,datasets/dataset-BMS1_dynamic.txt,63102,2000,0.0120,30,35,43.83
Inc-dCharm ,datasets/dataset-BMS1_dynamic.txt,63102,2000,0.0120,30,41,44.13
Inc-FP-Close ,datasets/dataset-BMS1_dynamic.txt,68102,5000,0.0120,30,124,118.86
Inc-CHARM ,datasets/dataset-BMS1_dynamic.txt,68102,5000,0.0120,30,42,46.20
Inc-dCharm ,datasets/dataset-BMS1_dynamic.txt,68102,5000,0.0120,30,65,46.96
Inc-FP-Close ,datasets/dataset-BMS1_dynamic.txt,59602,0,0.0100,43,156,66.44
Inc-CHARM ,datasets/dataset-BMS1_dynamic.txt,59602,0,0.0100,43,55,39.94
Inc-dCharm ,datasets/dataset-BMS1_dynamic.txt,59602,0,0.0100,43,119,129.15
Inc-FP-Close ,datasets/dataset-BMS1_dynamic.txt,60102,500,0.0100,43,148,107.36
Inc-CHARM ,datasets/dataset-BMS1_dynamic.txt,60102,500,0.0100,43,46,47.41
Inc-dCharm ,datasets/dataset-BMS1_dynamic.txt,60102,500,0.0100,43,119,92.93
Inc-FP-Close ,datasets/dataset-BMS1_dynamic.txt,61102,1000,0.0100,41,131,111.70
Inc-CHARM ,datasets/dataset-BMS1_dynamic.txt,61102,1000,0.0100,41,41,47.77
Inc-dCharm ,datasets/dataset-BMS1_dynamic.txt,61102,1000,0.0100,41,77,78.16
Inc-FP-Close ,datasets/dataset-BMS1_dynamic.txt,63102,2000,0.0100,41,128,128.61
Inc-CHARM ,datasets/dataset-BMS1_dynamic.txt,63102,2000,0.0100,41,42,48.75
Inc-dCharm ,datasets/dataset-BMS1_dynamic.txt,63102,2000,0.0100,41,66,71.58
Inc-FP-Close ,datasets/dataset-BMS1_dynamic.txt,68102,5000,0.0100,41,136,131.77
Inc-CHARM ,datasets/dataset-BMS1_dynamic.txt,68102,5000,0.0100,41,45,52.12
Inc-dCharm ,datasets/dataset-BMS1_dynamic.txt,68102,5000,0.0100,41,90,80.87
Inc-FP-Close ,datasets/dataset-BMS1_dynamic.txt,59602,0,0.0080,65,186,77.30
Inc-CHARM ,datasets/dataset-BMS1_dynamic.txt,59602,0,0.0080,65,98,44.00
Inc-dCharm ,datasets/dataset-BMS1_dynamic.txt,59602,0,0.0080,65,168,164.81
Inc-FP-Close ,datasets/dataset-BMS1_dynamic.txt,60102,500,0.0080,65,193,120.29
Inc-CHARM ,datasets/dataset-BMS1_dynamic.txt,60102,500,0.0080,65,66,51.34
Inc-dCharm ,datasets/dataset-BMS1_dynamic.txt,60102,500,0.0080,65,116,91.59
Inc-FP-Close ,datasets/dataset-BMS1_dynamic.txt,61102,1000,0.0080,65,236,123.75
Inc-CHARM ,datasets/dataset-BMS1_dynamic.txt,61102,1000,0.0080,65,76,51.82
Inc-dCharm ,datasets/dataset-BMS1_dynamic.txt,61102,1000,0.0080,65,210,168.19
Inc-FP-Close ,datasets/dataset-BMS1_dynamic.txt,63102,2000,0.0080,64,213,141.66
Inc-CHARM ,datasets/dataset-BMS1_dynamic.txt,63102,2000,0.0080,64,72,52.80
Inc-dCharm ,datasets/dataset-BMS1_dynamic.txt,63102,2000,0.0080,64,114,68.50
Inc-FP-Close ,datasets/dataset-BMS1_dynamic.txt,68102,5000,0.0080,64,271,140.83
Inc-CHARM ,datasets/dataset-BMS1_dynamic.txt,68102,5000,0.0080,64,126,57.17
Inc-dCharm ,datasets/dataset-BMS1_dynamic.txt,68102,5000,0.0080,64,196,66.89
Inc-FP-Close ,datasets/dataset-BMS1_dynamic.txt,59602,0,0.0060,100,297,117.02
Inc-CHARM ,datasets/dataset-BMS1_dynamic.txt,59602,0,0.0060,100,168,48.01
Inc-dCharm ,datasets/dataset-BMS1_dynamic.txt,59602,0,0.0060,100,218,178.89
Inc-FP-Close ,datasets/dataset-BMS1_dynamic.txt,60102,500,0.0060,98,252,132.26
Inc-CHARM ,datasets/dataset-BMS1_dynamic.txt,60102,500,0.0060,98,97,55.32
Inc-dCharm ,datasets/dataset-BMS1_dynamic.txt,60102,500,0.0060,98,153,119.49
