Algorithm,Dataset,TotalTransactions,GEN,MinSup,FoundItems,Runtime(ms),PeakMemory(MB)
Inc-CHARM (Vertical Incremental),dataset-chess,3696,500,0.2000,13241,3174,719.95
Inc-dCharm (Exact Probabilistic Diffset),dataset-chess,3696,500,0.2000,13241,3848,921.70
Inc-FP-Close (On-the-fly Subsumption),dataset-chess,3696,500,0.2000,13241,8753,110.81
Inc-FP-Close (CFI-Tree Subsumption),dataset-chess,3696,500,0.2000,13241,9794,108.26
Inc-FP-Close (HeaderTable + Stateful CFI-Tree),dataset-chess,3696,500,0.2000,13241,10633,97.54
True-Incremental FP-Close (Canonical Tree Logic),dataset-chess,3696,500,0.2000,5,6,16.82
Inc-FP-Close (HeaderTable + Stateful CFI-Tree),dataset-chess,3696,500,0.2000,13241,9418,107.55
True-Incremental FP-Close (Canonical Tree Logic),dataset-chess,3696,500,0.2000,16,6,16.74
True-Incremental FP-Close (Dual-Tree / Exact Projection),dataset-chess,3696,500,0.2000,12354,54780,557.11
Inc-FP-Close (Exact Uncertain Mining - Prefix Projection),dataset-chess,3696,500,0.2000,13241,13015,97.94
Inc-FP-Close (Exact Uncertain Mining - Prefix Projection),dataset-chess,3696,500,0.4000,294,270,34.14
True-Incremental FP-Close (Dual-Tree / Exact Projection),dataset-chess,3696,500,0.5000,100,783,374.82
True-Incremental FP-Close (Dual-Tree / Exact Projection),dataset-chess,3696,500,0.4000,344,1961,628.83
True-Incremental FP-Close (Dual-Tree / Exact Projection),dataset-chess,3696,500,0.2000,12354,43118,490.24
True-Incremental FP-Close (Dual-Tree / Exact Projection),dataset-mushrooms,8416,0,0.1000,1734,5509,632.53
True-Incremental FP-Close (Dual-Tree / Exact Projection),dataset-BMS1,59602,0,0.0200,13,139,124.28
True-Incremental FP-Close (Dual-Tree / Exact Projection),dataset-BMS1,59602,0,0.0010,945,2145,788.42
Inc-CHARM (Vertical Incremental),dataset-BMS1,59602,0,0.0010,892,434,113.78
Inc-dCharm (Exact Probabilistic Diffset),dataset-BMS1,59602,0,0.0010,892,453,158.88
True-Incremental FP-Close (Dual-Tree / Exact Projection),dataset-BMS1,59602,0,0.0010,945,2297,1012.60
Inc-CHARM (Vertical Incremental),dataset-BMS1,59602,0,0.0010,892,415,105.34
Inc-dCharm (Exact Probabilistic Diffset),dataset-BMS1,59602,0,0.0010,892,618,316.45
Inc-FP-Close (Exact Uncertain Mining - Prefix Projection),dataset-BMS1,59602,0,0.0010,892,761,215.36
Inc-dCharm (True Diffset Optimization),dataset-chess,3696,500,0.2000,13241,8897,1304.55
Inc-CHARM (Vertical Incremental),dataset-chess,3696,500,0.2000,13241,3495,689.68
Inc-dCharm (True Diffset Optimization),dataset-chess,3696,500,0.2000,13241,7627,783.94
Inc-FP-Close (Custom I/O Persistent Exact Mining),dataset-chess,3696,500,0.2000,13241,9493,140.43
Inc-CHARM (Vertical Incremental),dataset-chess,3696,500,0.2000,13241,3221,658.41
Inc-dCharm (True Diffset Optimization),dataset-chess,3696,500,0.2000,13241,7177,1381.20
Inc-FP-Close (Custom I/O Persistent Exact Mining),dataset-chess,3696,500,0.2000,13241,8478,268.63
Inc-CHARM (Vertical Incremental),dataset-chess-ACCUMULATED,4196,500,0.2000,13369,4020,756.38
Inc-dCharm (True Diffset Optimization),dataset-chess-ACCUMULATED,4196,500,0.2000,13369,8755,787.19
